Doctor_Name,Specialization,Available_Timings,Available_Date,Hospital_Name,Location,Department_Size,Patient_Influx,Doctor_Ratio,Doctor_Availability
Dr. Swati Desai,Dermatology,14,01-10-2024,City Hospital,Kolkata,46,404,0.69,0
Dr. Anil Mehra,Pediatrics,11,02-10-2024,City Hospital,Mumbai,54,373,0.87,0
Dr. Ravi Kumar,Dermatology,9,03-10-2024,Govt Health Center,New Delhi,61,96,0.54,0
Dr. Swati Desai,Pediatrics,12,04-10-2024,City Hospital,Kolkata,57,143,1.97,1
Dr. Swati Desai,Pediatrics,10,05-10-2024,Metro Hospital,Kolkata,71,231,0.85,0
Dr. Anil Mehra,Dermatology,16,06-10-2024,Govt Health Center,Chennai,87,491,1.05,0
Dr. Ravi Kumar,Orthopedics,13,07-10-2024,Metro Hospital,Chennai,60,239,0.91,0
Dr. Ravi Kumar,Pediatrics,8,08-10-2024,Metro Hospital,Mumbai,13,100,0.56,0
Dr. Swati Desai,Dermatology,10,09-10-2024,Metro Hospital,Kolkata,95,255,0.89,0
Dr. Rohit Verma,Cardiology,11,10-10-2024,Govt Health Center,Chennai,65,353,0.65,0
Dr. Swati Desai,Dermatology,16,11-10-2024,City Hospital,Mumbai,84,460,1.09,0
Dr. Swati Desai,Cardiology,13,12-10-2024,Metro Hospital,New Delhi,43,382,1.95,0
Dr. Swati Desai,Pediatrics,11,13-10-2024,City Hospital,Chennai,54,488,1.55,0
Dr. Swati Desai,Dermatology,8,14-10-2024,City Hospital,Mumbai,25,174,1.56,1
Dr. Anil Mehra,Dermatology,15,15-10-2024,Metro Hospital,Chennai,18,261,1.18,1
Dr. Ravi Kumar,Cardiology,9,16-10-2024,City Hospital,New Delhi,89,418,1.72,0
Dr. Anil Mehra,Dermatology,15,17-10-2024,Govt Health Center,New Delhi,25,482,1.86,0
Dr. Anil Mehra,Dermatology,13,18-10-2024,Govt Health Center,Chennai,40,457,1.94,0
Dr. Anil Mehra,Pediatrics,15,19-10-2024,City Hospital,New Delhi,22,315,0.65,0
Dr. Swati Desai,Dermatology,13,20-10-2024,City Hospital,Mumbai,14,184,1.82,1
Dr. Rohit Verma,Orthopedics,12,21-10-2024,Govt Health Center,Chennai,56,421,0.84,0
Dr. Ravi Kumar,Cardiology,12,22-10-2024,City Hospital,Chennai,48,322,1.1,0
Dr. Rohit Verma,Dermatology,17,23-10-2024,City Hospital,New Delhi,27,327,1.02,0
Dr. Anil Mehra,Cardiology,17,24-10-2024,City Hospital,Mumbai,29,364,1.51,0
Dr. Anil Mehra,Cardiology,15,25-10-2024,City Hospital,Chennai,11,349,1.4,0
Dr. Rohit Verma,Cardiology,14,26-10-2024,Metro Hospital,Chennai,49,316,0.66,0
Dr. Rohit Verma,Dermatology,15,27-10-2024,City Hospital,New Delhi,39,347,1.67,0
Dr. Rohit Verma,Dermatology,15,28-10-2024,Govt Health Center,New Delhi,19,328,1.16,0
Dr. Anil Mehra,Cardiology,14,29-10-2024,Metro Hospital,Mumbai,73,423,0.5,0
Dr. Anil Mehra,Orthopedics,9,30-10-2024,Metro Hospital,Mumbai,51,493,1.12,0
Dr. Ravi Kumar,Cardiology,16,31-10-2024,Govt Health Center,New Delhi,84,263,1.27,1
Dr. Ravi Kumar,Orthopedics,14,01-11-2024,City Hospital,Mumbai,62,111,0.6,0
Dr. Anil Mehra,Cardiology,13,02-11-2024,Metro Hospital,Kolkata,62,416,0.73,0
Dr. Rohit Verma,Pediatrics,16,03-11-2024,Metro Hospital,Kolkata,49,103,1.99,1
Dr. Rohit Verma,Cardiology,8,04-11-2024,City Hospital,New Delhi,25,387,1.81,0
Dr. Ravi Kumar,Cardiology,9,05-11-2024,City Hospital,Chennai,57,424,0.7,0
Dr. Anil Mehra,Dermatology,8,06-11-2024,Govt Health Center,New Delhi,70,414,1.37,0
Dr. Ravi Kumar,Orthopedics,17,07-11-2024,Metro Hospital,New Delhi,90,161,1.07,1
Dr. Ravi Kumar,Pediatrics,10,08-11-2024,City Hospital,New Delhi,47,318,1.32,0
Dr. Swati Desai,Orthopedics,12,09-11-2024,City Hospital,Chennai,53,373,1.21,0
Dr. Swati Desai,Pediatrics,8,10-11-2024,Govt Health Center,Kolkata,24,156,0.57,0
Dr. Swati Desai,Cardiology,11,11-11-2024,Metro Hospital,Mumbai,70,332,0.97,0
Dr. Rohit Verma,Dermatology,15,12-11-2024,City Hospital,Kolkata,16,420,0.69,0
Dr. Anil Mehra,Dermatology,13,13-11-2024,Govt Health Center,Mumbai,39,217,1.23,1
Dr. Anil Mehra,Orthopedics,8,14-11-2024,Metro Hospital,Mumbai,45,123,1.86,1
Dr. Anil Mehra,Dermatology,8,15-11-2024,Metro Hospital,New Delhi,99,285,1.99,1
Dr. Anil Mehra,Orthopedics,10,16-11-2024,Metro Hospital,New Delhi,20,141,1.92,1
Dr. Swati Desai,Orthopedics,17,17-11-2024,Metro Hospital,Mumbai,79,134,1.98,1
Dr. Rohit Verma,Pediatrics,15,18-11-2024,Govt Health Center,Chennai,38,421,0.52,0
Dr. Rohit Verma,Orthopedics,15,19-11-2024,City Hospital,Chennai,88,124,1.59,1
Dr. Swati Desai,Pediatrics,10,20-11-2024,Metro Hospital,Chennai,15,133,0.91,0
Dr. Rohit Verma,Dermatology,14,21-11-2024,Metro Hospital,Chennai,85,294,1.8,1
Dr. Swati Desai,Orthopedics,10,22-11-2024,City Hospital,New Delhi,60,277,1.72,1
Dr. Anil Mehra,Orthopedics,11,23-11-2024,Metro Hospital,Kolkata,89,132,1.14,1
Dr. Swati Desai,Cardiology,16,24-11-2024,Metro Hospital,Kolkata,47,443,1.21,0
Dr. Anil Mehra,Orthopedics,11,25-11-2024,City Hospital,Mumbai,82,64,0.9,0
Dr. Anil Mehra,Orthopedics,10,26-11-2024,City Hospital,Chennai,31,350,0.93,0
Dr. Ravi Kumar,Cardiology,12,27-11-2024,Metro Hospital,New Delhi,99,230,1.97,1
Dr. Swati Desai,Cardiology,14,28-11-2024,City Hospital,New Delhi,63,387,1.83,0
Dr. Ravi Kumar,Dermatology,12,29-11-2024,Govt Health Center,New Delhi,49,312,0.79,0
Dr. Swati Desai,Orthopedics,11,30-11-2024,Govt Health Center,Mumbai,16,463,0.91,0
Dr. Swati Desai,Dermatology,15,01-12-2024,Metro Hospital,New Delhi,49,127,0.66,0
Dr. Ravi Kumar,Dermatology,11,02-12-2024,Metro Hospital,Mumbai,33,278,1.98,1
Dr. Ravi Kumar,Cardiology,9,03-12-2024,City Hospital,Mumbai,50,282,1.86,1
Dr. Swati Desai,Pediatrics,17,04-12-2024,City Hospital,Mumbai,60,79,1.33,1
Dr. Rohit Verma,Dermatology,13,05-12-2024,Metro Hospital,Mumbai,48,423,1.54,0
Dr. Anil Mehra,Pediatrics,9,06-12-2024,Metro Hospital,New Delhi,92,204,1.62,1
Dr. Ravi Kumar,Orthopedics,10,07-12-2024,Govt Health Center,New Delhi,52,354,0.81,0
Dr. Anil Mehra,Cardiology,8,08-12-2024,City Hospital,Kolkata,78,234,1.9,1
Dr. Rohit Verma,Orthopedics,12,09-12-2024,Metro Hospital,New Delhi,68,497,1.29,0
Dr. Rohit Verma,Orthopedics,16,10-12-2024,Metro Hospital,Chennai,34,406,0.64,0
Dr. Rohit Verma,Cardiology,9,11-12-2024,City Hospital,Chennai,34,496,1.1,0
Dr. Ravi Kumar,Orthopedics,14,12-12-2024,City Hospital,Mumbai,82,481,1.4,0
Dr. Rohit Verma,Cardiology,12,13-12-2024,Metro Hospital,Mumbai,33,304,1.03,0
Dr. Ravi Kumar,Pediatrics,9,14-12-2024,Metro Hospital,Mumbai,71,218,1.55,1
Dr. Rohit Verma,Orthopedics,15,15-12-2024,Metro Hospital,Kolkata,52,130,1.82,1
Dr. Anil Mehra,Cardiology,13,16-12-2024,City Hospital,Mumbai,68,335,1.66,0
Dr. Anil Mehra,Dermatology,11,17-12-2024,Metro Hospital,Kolkata,63,259,1.46,1
Dr. Swati Desai,Orthopedics,11,18-12-2024,Metro Hospital,Mumbai,88,308,1.27,0
Dr. Anil Mehra,Pediatrics,9,19-12-2024,Metro Hospital,Chennai,35,86,0.88,0
Dr. Swati Desai,Cardiology,10,20-12-2024,Govt Health Center,Mumbai,63,335,1.18,0
Dr. Anil Mehra,Orthopedics,14,21-12-2024,Govt Health Center,New Delhi,70,103,0.94,0
Dr. Ravi Kumar,Orthopedics,10,22-12-2024,City Hospital,Mumbai,84,418,1.9,0
Dr. Anil Mehra,Orthopedics,12,23-12-2024,Metro Hospital,New Delhi,88,261,1.86,1
Dr. Swati Desai,Pediatrics,17,24-12-2024,Metro Hospital,New Delhi,53,391,0.73,0
Dr. Swati Desai,Cardiology,13,25-12-2024,City Hospital,New Delhi,18,149,1.73,1
Dr. Rohit Verma,Dermatology,13,26-12-2024,City Hospital,New Delhi,51,134,1.55,1
Dr. Ravi Kumar,Dermatology,11,27-12-2024,City Hospital,Kolkata,38,262,1.96,1
Dr. Anil Mehra,Dermatology,13,28-12-2024,Metro Hospital,Kolkata,88,440,1.19,0
Dr. Rohit Verma,Cardiology,10,29-12-2024,Govt Health Center,Mumbai,90,313,1.58,0
Dr. Anil Mehra,Dermatology,14,30-12-2024,City Hospital,Mumbai,89,135,1.28,1
Dr. Anil Mehra,Pediatrics,14,31-12-2024,Metro Hospital,Kolkata,67,112,0.6,0
Dr. Rohit Verma,Cardiology,11,01-01-2025,City Hospital,Mumbai,95,496,0.57,0
Dr. Rohit Verma,Orthopedics,9,02-01-2025,Metro Hospital,Mumbai,72,241,0.68,0
Dr. Rohit Verma,Pediatrics,14,03-01-2025,City Hospital,Kolkata,58,463,0.94,0
Dr. Rohit Verma,Orthopedics,10,04-01-2025,Metro Hospital,Kolkata,20,142,0.89,0
Dr. Rohit Verma,Dermatology,8,05-01-2025,City Hospital,Mumbai,98,302,1.59,0
Dr. Anil Mehra,Pediatrics,9,06-01-2025,Govt Health Center,Kolkata,63,187,1.57,1
Dr. Rohit Verma,Cardiology,17,07-01-2025,City Hospital,Chennai,39,98,1.96,1
Dr. Ravi Kumar,Pediatrics,16,08-01-2025,City Hospital,New Delhi,75,170,0.97,0
Dr. Swati Desai,Orthopedics,15,09-01-2025,Govt Health Center,New Delhi,74,88,1.91,1
Dr. Rohit Verma,Cardiology,13,10-01-2025,City Hospital,Chennai,67,83,1.42,1
Dr. Rohit Verma,Pediatrics,13,11-01-2025,Govt Health Center,Chennai,66,407,1.24,0
Dr. Anil Mehra,Pediatrics,8,12-01-2025,Metro Hospital,Mumbai,46,315,1.5,0
